,quarter,state,price_cleanmedian_W,availability_30mean_W,availability_60mean_W,availability_90mean_W,unemployment,income,gdp,count
0,2018Q2,CA,109.85006594770735,10.613080921716191,24.71592055240903,24.71592055240903,4.2666666666666675,2500871.900000001,2966250.0999999987,51556
1,2018Q2,CO,107.58390949088624,10.002514142049026,22.318667504714018,22.318667504714018,3.1333333333333333,332573.6,371053.9000000001,1591
2,2018Q2,DC,121.5410979082785,6.825788078169499,16.426102327408426,16.426102327408426,5.733333333333333,56669.09999999999,138232.60000000003,10183
3,2018Q2,IL,102.48375325803649,10.61876629018245,24.460816681146827,24.460816681146827,4.299999999999999,724439.5,860142.0,5755
4,2018Q2,LA,141.2880800131169,12.162813575996065,30.87948844072799,30.87948844072799,5.0,214988.6,253237.09999999995,6099
5,2018Q2,MA,148.04141358365544,11.250690226394257,25.889011595803424,25.889011595803424,3.4333333333333345,491881.0,569485.9000000001,3622
6,2018Q2,MN,353.2877440221786,9.907242693773824,21.44796118747834,21.44796118747834,2.933333333333336,320202.0999999998,371278.5999999998,8657
7,2018Q2,NC,104.2565343659245,14.09002904162633,31.12294288480155,31.12294288480155,3.9666666666666677,477559.9000000002,567963.7,1033
8,2018Q2,NY,101.52598191020586,4.6699226477128555,11.653579078048049,11.653579078048049,4.200000000000002,1336180.1000000006,1703877.1000000008,73301
9,2018Q2,OR,90.05027376804381,11.48133399701344,26.413140866102538,26.413140866102538,3.966666666666668,213899.5,240531.09999999992,4018
10,2018Q2,TN,173.82277843104316,9.921888123635142,25.13707374433059,25.13707374433059,3.599999999999999,317426.2000000001,361895.40000000014,5953
11,2018Q2,TX,170.28790381791484,9.067088839941263,21.389592511013216,21.389592511013216,3.9333333333333362,1454607.3999999992,1793165.600000001,10896
12,2018Q3,CA,112.31356733795381,10.102945981735946,25.620530723855058,25.620530723855058,4.199999999999999,2534489.7999999984,2991611.7999999984,58147
13,2018Q3,CO,110.74195179504467,8.237148154390695,22.359177481881005,22.359177481881005,3.233333333333334,338332.79999999993,374189.9000000001,5933
14,2018Q3,DC,118.99300071787509,8.802225412778176,20.908590571907155,20.908590571907155,5.63333333333333,57500.09999999999,140037.89999999997,16716
15,2018Q3,IL,103.84219156940291,10.047554741005113,26.308575286968264,26.308575286968264,4.266666666666667,730313.0,867094.9000000001,10367
16,2018Q3,LA,136.871948323359,16.98166619169754,36.36544124631899,36.36544124631899,4.933333333333336,216152.7000000001,254370.59999999995,10527
17,2018Q3,MA,145.23890447120937,8.41577297475664,22.307045042072264,22.307045042072264,3.299999999999999,497038.2999999999,573514.9000000001,6061
18,2018Q3,MN,305.7507327080891,8.840269636576787,20.749194021101992,20.749194021101992,2.833333333333333,323384.5999999998,374310.0,13648
19,2018Q3,NC,101.58896982310094,12.432882414151925,28.93964620187305,28.93964620187305,3.9000000000000004,482191.80000000005,569085.4000000001,3844
20,2018Q3,NY,102.10573798739661,4.729531803859787,11.736547361165814,11.736547361165814,3.933333333333336,1350397.6999999997,1720476.0,81248
21,2018Q3,OR,92.25508878302296,8.914392955103219,26.06279774794283,26.06279774794283,3.966666666666668,217481.20000000013,243988.70000000013,6927
22,2018Q3,TN,163.84564347741244,10.471850912284125,25.056981168894527,25.056981168894527,3.5,322524.90000000014,365540.0,10249
23,2018Q3,TX,165.43844075646467,9.993769642167944,22.10530958813475,22.10530958813475,3.733333333333334,1474903.7999999996,1809490.700000001,18137
24,2018Q4,CA,109.72126669037536,11.962577996185058,28.580226956774755,28.580226956774755,4.233333333333332,2559475.2000000016,3023522.5999999987,61862
